date,region,prediction_confirmed,prediction_deaths
2020-09-30,AFG,20248746,1155261
2020-10-01,AFG,21375340,1263647
2020-10-02,AFG,22522638,1377815
2020-10-03,AFG,23687862,1497507
2020-10-04,AFG,24868270,1622391
2020-10-05,AFG,26061260,1752048
2020-10-06,AFG,27264449,1885977
2020-10-07,AFG,28475747,2023589
2020-10-08,AFG,29693462,2164201
2020-10-09,AFG,30916441,2307039
2020-10-10,AFG,32144240,2451238
2020-10-11,AFG,33377307,2595842
2020-10-12,AFG,34617163,2739815
2020-10-13,AFG,35866575,2882041
2020-10-14,AFG,37129748,3021336
2020-10-15,AFG,38412538,3156456
2020-10-16,AFG,38928346,3286108
2020-10-17,AFG,38928346,3408870
2020-10-18,AFG,38928346,3518802
2020-10-19,AFG,38928346,3620267
2020-10-20,AFG,38928346,3711189
2020-10-21,AFG,38928346,3781996
2020-10-22,AFG,38928346,3832390
2020-10-23,AFG,38928346,3860029
2020-10-24,AFG,38928346,3868382
2020-10-25,AFG,38928346,3868382
2020-10-26,AFG,38928346,3868382
2020-10-27,AFG,38928346,3868382
2020-10-28,AFG,38928346,3868382
2020-10-29,AFG,38928346,3868382
2020-10-30,AFG,38928346,3868382
2020-10-31,AFG,38928346,3868382
2020-11-01,AFG,38928346,3868382
2020-11-02,AFG,38928346,3868382
2020-11-03,AFG,38928346,3868382
2020-11-04,AFG,38928346,3868382
2020-11-05,AFG,38928346,3868382
2020-11-06,AFG,38928346,3868382
2020-11-07,AFG,38928346,3868382
2020-11-08,AFG,38928346,3868382
2020-11-09,AFG,38928346,3868382
2020-11-10,AFG,38928346,3868382
2020-11-11,AFG,38928346,3868382
2020-11-12,AFG,38928346,3868382
2020-11-13,AFG,38928346,3868382
2020-11-14,AFG,38928346,3868382
2020-11-15,AFG,38928346,3868382
2020-11-16,AFG,38928346,3868382
2020-11-17,AFG,38928346,3868382
2020-11-18,AFG,38928346,3868382
2020-11-19,AFG,38928346,3868382
2020-11-20,AFG,38928346,3868382
2020-11-21,AFG,38928346,3868382
2020-11-22,AFG,38928346,3868382
2020-11-23,AFG,38928346,3868382
2020-11-24,AFG,38928346,3868382
2020-11-25,AFG,38928346,3868382
2020-11-26,AFG,38928346,3868382
2020-11-27,AFG,38928346,3868382
2020-11-28,AFG,38928346,3868382
2020-11-29,AFG,38928346,3868382
2020-11-30,AFG,38928346,3868382
2020-12-01,AFG,38928346,3868382
2020-12-02,AFG,38928346,3868382
2020-12-03,AFG,38928346,3868382
2020-12-04,AFG,38928346,3868382
2020-12-05,AFG,38928346,3868382
2020-12-06,AFG,38928346,3868382
2020-12-07,AFG,38928346,3868382
2020-12-08,AFG,38928346,3868382
2020-12-09,AFG,38928346,3868382
2020-12-10,AFG,38928346,3868382
2020-12-11,AFG,38928346,3868382
2020-12-12,AFG,38928346,3868382
2020-12-13,AFG,38928346,3868382
2020-12-14,AFG,38928346,3868382
2020-12-15,AFG,38928346,3868382
2020-12-16,AFG,38928346,3868382
2020-12-17,AFG,38928346,3868382
2020-12-18,AFG,38928346,3868382
2020-12-19,AFG,38928346,3868382
2020-12-20,AFG,38928346,3868382
2020-12-21,AFG,38928346,3868382
2020-12-22,AFG,38928346,3868382
2020-12-23,AFG,38928346,3868382
2020-12-24,AFG,38928346,3868382
2020-12-25,AFG,38928346,3868382
2020-12-26,AFG,38928346,3868382
2020-12-27,AFG,38928346,3868382
2020-12-28,AFG,38928346,3868382
2020-12-29,AFG,38928346,3868382
2020-12-30,AFG,38928346,3868382
2020-12-31,AFG,38928346,3868382
2020-04-19,ALB,569,26
2020-04-20,ALB,602,26
2020-04-21,ALB,630,26
2020-04-22,ALB,661,27
2020-04-23,ALB,686,27
2020-04-24,ALB,719,28
2020-04-25,ALB,759,28
2020-04-26,ALB,811,28
2020-04-27,ALB,867,29
2020-04-28,ALB,928,30
2020-04-29,ALB,992,32
2020-04-30,ALB,1063,33
2020-05-01,ALB,1139,35
2020-05-02,ALB,1228,37
2020-05-03,ALB,1331,40
2020-05-04,ALB,1441,43
2020-05-05,ALB,1560,47
2020-05-06,ALB,1688,51
2020-05-07,ALB,1828,56
2020-05-08,ALB,1979,62
2020-05-09,ALB,2144,69
2020-05-10,ALB,2324,77
2020-05-11,ALB,2517,86
2020-05-12,ALB,2722,97
2020-05-13,ALB,2941,108
2020-05-14,ALB,3174,121
2020-05-15,ALB,3423,136
2020-05-16,ALB,3687,152
2020-05-17,ALB,3967,169
2020-05-18,ALB,4261,189
2020-05-19,ALB,4570,210
2020-05-20,ALB,4894,233
2020-05-21,ALB,5234,258
2020-05-22,ALB,5589,285
2020-05-23,ALB,5958,314
2020-05-24,ALB,6342,346
2020-05-25,ALB,6740,379
2020-05-26,ALB,7151,415
2020-05-27,ALB,7576,452
2020-05-28,ALB,8014,492
2020-05-29,ALB,8465,533
2020-05-30,ALB,8929,577
2020-05-31,ALB,9404,622
2020-06-01,ALB,9891,669
2020-06-02,ALB,10390,718
2020-06-03,ALB,10901,768
2020-06-04,ALB,11426,819
2020-06-05,ALB,11963,871
2020-06-06,ALB,12515,924
2020-06-07,ALB,13082,977
2020-06-08,ALB,13667,1030
2020-06-09,ALB,14271,1082
2020-06-10,ALB,14898,1135
2020-06-11,ALB,15551,1186
2020-06-12,ALB,16235,1236
2020-06-13,ALB,16954,1285
2020-06-14,ALB,17714,1332
2020-06-15,ALB,18522,1377
2020-06-16,ALB,19387,1419
2020-06-17,ALB,20317,1458
2020-06-18,ALB,21323,1495
2020-06-19,ALB,22417,1528
2020-06-20,ALB,23610,1558
2020-06-21,ALB,24918,1585
2020-06-22,ALB,26357,1610
2020-06-23,ALB,27944,1631
2020-06-24,ALB,29699,1650
2020-06-25,ALB,31641,1667
2020-06-26,ALB,33795,1683
2020-06-27,ALB,36184,1699
2020-06-28,ALB,38833,1715
2020-06-29,ALB,41771,1734
2020-06-30,ALB,45027,1756
2020-07-01,ALB,48632,1784
2020-07-02,ALB,52617,1819
2020-07-03,ALB,57018,1864
2020-07-04,ALB,61868,1922
2020-07-05,ALB,67203,1996
2020-07-06,ALB,73061,2089
2020-07-07,ALB,79479,2205
2020-07-08,ALB,86494,2348
2020-07-09,ALB,94145,2522
2020-07-10,ALB,102470,2732
2020-07-11,ALB,111505,2983
2020-07-12,ALB,121287,3281
2020-07-13,ALB,131851,3631
2020-07-14,ALB,143230,4040
2020-07-15,ALB,155455,4514
2020-07-16,ALB,168553,5059
2020-07-17,ALB,182552,5682
2020-07-18,ALB,197471,6390
2020-07-19,ALB,213328,7190
2020-07-20,ALB,230138,8088
2020-07-21,ALB,247907,9092
2020-07-22,ALB,266639,10209
2020-07-23,ALB,286332,11443
2020-07-24,ALB,306977,12803
2020-07-25,ALB,328559,14293
2020-07-26,ALB,351058,15918
2020-07-27,ALB,374446,17683
2020-07-28,ALB,398691,19590
2020-07-29,ALB,423753,21644
2020-07-30,ALB,449587,23845
2020-07-31,ALB,476145,26193
2020-08-01,ALB,503371,28687
2020-08-02,ALB,531210,31325
2020-08-03,ALB,559602,34102
2020-08-04,ALB,588487,37013
2020-08-05,ALB,617806,40049
2020-08-06,ALB,647504,43200
2020-08-07,ALB,677530,46455
2020-08-08,ALB,707842,49800
2020-08-09,ALB,738408,53219
2020-08-10,ALB,769211,56693
2020-08-11,ALB,800252,60203
2020-08-12,ALB,831551,63725
2020-08-13,ALB,863157,67235
2020-08-14,ALB,895148,70708
2020-08-15,ALB,927638,74116
2020-08-16,ALB,960781,77429
2020-08-17,ALB,994779,80617
2020-08-18,ALB,1029883,83651
2020-08-19,ALB,1066406,86498
2020-08-20,ALB,1104721,89129
2020-08-21,ALB,1145275,91514
2020-08-22,ALB,1188591,93625
2020-08-23,ALB,1235273,95436
2020-08-24,ALB,1286018,96926
2020-08-25,ALB,1341616,98076
2020-08-26,ALB,1402960,98873
2020-08-27,ALB,1471049,99311
2020-08-28,ALB,1546994,99391
2020-08-29,ALB,1632023,99391
2020-08-30,ALB,1726656,99391
2020-08-31,ALB,1832576,99391
2020-09-01,ALB,1952033,99391
2020-09-02,ALB,2087621,99391
2020-09-03,ALB,2241435,99398
2020-09-04,ALB,2415490,99571
2020-09-05,ALB,2610881,100054
2020-09-06,ALB,2829229,101026
2020-09-07,ALB,2877797,102562
2020-09-08,ALB,2877797,104747
2020-09-09,ALB,2877797,106639
2020-09-10,ALB,2877797,110152
2020-09-11,ALB,2877797,114562
2020-09-12,ALB,2877797,118715
2020-09-13,ALB,2877797,123318
2020-09-14,ALB,2877797,127891
2020-09-15,ALB,2877797,133998
2020-09-16,ALB,2877797,138999
2020-09-17,ALB,2877797,145240
2020-09-18,ALB,2877797,152091
2020-09-19,ALB,2877797,158660
2020-09-20,ALB,2877797,164932
2020-09-21,ALB,2877797,171740
2020-09-22,ALB,2877797,178323
2020-09-23,ALB,2877797,184896
2020-09-24,ALB,2877797,190973
2020-09-25,ALB,2877797,197261
2020-09-26,ALB,2877797,202888
2020-09-27,ALB,2877797,207622
2020-09-28,ALB,2877797,211954
2020-09-29,ALB,2877797,215752
2020-09-30,ALB,2877797,218414
2020-10-01,ALB,2877797,220224
2020-10-02,ALB,2877797,221025
2020-10-03,ALB,2877797,221025
2020-10-04,ALB,2877797,221025
2020-10-05,ALB,2877797,221025
2020-10-06,ALB,2877797,221025
2020-10-07,ALB,2877797,221025
2020-10-08,ALB,2877797,221025
2020-10-09,ALB,2877797,221025
2020-10-10,ALB,2877797,221025
2020-10-11,ALB,2877797,221025
2020-10-12,ALB,2877797,221025
2020-10-13,ALB,2877797,221025
2020-10-14,ALB,2877797,221025
2020-10-15,ALB,2877797,221025
2020-10-16,ALB,2877797,221025
2020-10-17,ALB,2877797,221025
2020-10-18,ALB,2877797,221025
2020-10-19,ALB,2877797,221025
2020-10-20,ALB,2877797,221025
2020-10-21,ALB,2877797,221025
2020-10-22,ALB,2877797,221025
2020-10-23,ALB,2877797,221025
2020-10-24,ALB,2877797,221025
2020-10-25,ALB,2877797,221025
2020-10-26,ALB,2877797,221025
2020-10-27,ALB,2877797,221025
2020-10-28,ALB,2877797,221025
2020-10-29,ALB,2877797,221025
2020-10-30,ALB,2877797,221025
2020-10-31,ALB,2877797,221025
2020-11-01,ALB,2877797,221025
2020-11-02,ALB,2877797,221025
2020-11-03,ALB,2877797,221025
2020-11-04,ALB,2877797,221025
2020-11-05,ALB,2877797,221025
2020-11-06,ALB,2877797,221025
2020-11-07,ALB,2877797,221025
2020-11-08,ALB,2877797,221025
2020-11-09,ALB,2877797,221025
2020-11-10,ALB,2877797,221025
2020-11-11,ALB,2877797,221025
2020-11-12,ALB,2877797,221025
2020-11-13,ALB,2877797,221025
2020-11-14,ALB,2877797,221025
2020-11-15,ALB,2877797,221025
2020-11-16,ALB,2877797,221025
2020-11-17,ALB,2877797,221025
2020-11-18,ALB,2877797,221025
2020-11-19,ALB,2877797,221025
2020-11-20,ALB,2877797,221025
2020-11-21,ALB,2877797,221025
2020-11-22,ALB,2877797,221025
2020-11-23,ALB,2877797,221025
2020-11-24,ALB,2877797,221025
2020-11-25,ALB,2877797,221025
2020-11-26,ALB,2877797,221025
2020-11-27,ALB,2877797,221025
2020-11-28,ALB,2877797,221025
2020-11-29,ALB,2877797,221025
2020-11-30,ALB,2877797,221025
2020-12-01,ALB,2877797,221025
2020-12-02,ALB,2877797,221025
2020-12-03,ALB,2877797,221025
2020-12-04,ALB,2877797,221025
2020-12-05,ALB,2877797,221025
2020-12-06,ALB,2877797,221025
2020-12-07,ALB,2877797,221025
2020-12-08,ALB,2877797,221025
2020-12-09,ALB,2877797,221025
2020-12-10,ALB,2877797,221025
2020-12-11,ALB,2877797,221025
2020-12-12,ALB,2877797,221025
2020-12-13,ALB,2877797,221025
2020-12-14,ALB,2877797,221025
2020-12-15,ALB,2877797,221025
2020-12-16,ALB,2877797,221025
2020-12-17,ALB,2877797,221025
2020-12-18,ALB,2877797,221025
2020-12-19,ALB,2877797,221025
2020-12-20,ALB,2877797,221025
2020-12-21,ALB,2877797,221025
2020-12-22,ALB,2877797,221025
2020-12-23,ALB,2877797,221025
2020-12-24,ALB,2877797,221025
2020-12-25,ALB,2877797,221025
2020-12-26,ALB,2877797,221025
2020-12-27,ALB,2877797,221025
2020-12-28,ALB,2877797,221025
2020-12-29,ALB,2877797,221025
2020-12-30,ALB,2877797,221025
2020-12-31,ALB,2877797,221025
2020-04-19,DZA,2633,371
2020-04-20,DZA,2807,374
2020-04-21,DZA,3004,374
2020-04-22,DZA,3182,374
2020-04-23,DZA,3418,374
2020-04-24,DZA,3715,374
2020-04-25,DZA,4040,374
2020-04-26,DZA,4363,374
2020-04-27,DZA,4810,374
2020-04-28,DZA,5368,374
2020-04-29,DZA,5971,375
2020-04-30,DZA,6674,378
2020-05-01,DZA,7459,380
2020-05-02,DZA,8340,386
2020-05-03,DZA,9326,393
2020-05-04,DZA,10430,403
2020-05-05,DZA,11659,416
2020-05-06,DZA,13039,433
2020-05-07,DZA,14573,456
2020-05-08,DZA,16256,484
2020-05-09,DZA,18101,519
2020-05-10,DZA,20131,562
2020-05-11,DZA,22351,615
2020-05-12,DZA,24768,678
2020-05-13,DZA,27401,754
2020-05-14,DZA,30261,843
2020-05-15,DZA,33357,947
2020-05-16,DZA,36690,1068
2020-05-17,DZA,40280,1208
2020-05-18,DZA,44133,1369
2020-05-19,DZA,48255,1552
2020-05-20,DZA,52655,1760
2020-05-21,DZA,57340,1994
2020-05-22,DZA,62315,2257
2020-05-23,DZA,67583,2550
2020-05-24,DZA,73147,2876
2020-05-25,DZA,79008,3236
2020-05-26,DZA,85165,3632
2020-05-27,DZA,91615,4066
2020-05-28,DZA,98357,4539
2020-05-29,DZA,105383,5053
2020-05-30,DZA,112688,5609
2020-05-31,DZA,120264,6207
2020-06-01,DZA,128099,6849
2020-06-02,DZA,136183,7534
2020-06-03,DZA,144503,8263
2020-06-04,DZA,153047,9035
2020-06-05,DZA,161801,9848
2020-06-06,DZA,170752,10702
2020-06-07,DZA,179886,11595
2020-06-08,DZA,189192,12524
2020-06-09,DZA,198659,13485
2020-06-10,DZA,208278,14477
2020-06-11,DZA,218044,15494
2020-06-12,DZA,227957,16531
2020-06-13,DZA,238021,17583
2020-06-14,DZA,248246,18645
2020-06-15,DZA,258649,19710
2020-06-16,DZA,269257,20771
2020-06-17,DZA,280106,21820
2020-06-18,DZA,291244,22851
2020-06-19,DZA,302732,23854
2020-06-20,DZA,314645,24822
2020-06-21,DZA,327076,25747
2020-06-22,DZA,340135,26619
2020-06-23,DZA,353953,27433
2020-06-24,DZA,368681,28179
2020-06-25,DZA,384496,28852
2020-06-26,DZA,401598,29445
2020-06-27,DZA,420215,29954
2020-06-28,DZA,440606,30376
2020-06-29,DZA,463057,30709
2020-06-30,DZA,487888,30953
2020-07-01,DZA,515453,31111
2020-07-02,DZA,546138,31190
2020-07-03,DZA,580365,31198
2020-07-04,DZA,618594,31198
2020-07-05,DZA,661163,31198
2020-07-06,DZA,708702,31198
2020-07-07,DZA,761920,31211
2020-07-08,DZA,821537,31281
2020-07-09,DZA,888076,31435
2020-07-10,DZA,962189,31722
2020-07-11,DZA,1044434,32201
2020-07-12,DZA,1135503,32930
2020-07-13,DZA,1235827,33951
2020-07-14,DZA,1346156,35326
2020-07-15,DZA,1467582,37139
2020-07-16,DZA,1600978,39473
2020-07-17,DZA,1746908,42417
2020-07-18,DZA,1906015,46069
2020-07-19,DZA,2079028,50533
2020-07-20,DZA,2266551,55910
2020-07-21,DZA,2469244,62315
2020-07-22,DZA,2687878,69875
2020-07-23,DZA,2923160,78720
2020-07-24,DZA,3175541,88981
2020-07-25,DZA,3445406,100792
2020-07-26,DZA,3733115,114290
2020-07-27,DZA,4038961,129611
2020-07-28,DZA,4363149,146896
2020-07-29,DZA,4705828,166284
2020-07-30,DZA,5067008,187910
2020-07-31,DZA,5446520,211902
2020-08-01,DZA,5844067,238380
2020-08-02,DZA,6259243,267455
2020-08-03,DZA,6691521,299225
2020-08-04,DZA,7140243,333776
2020-08-05,DZA,7604617,371176
2020-08-06,DZA,8083703,411474
2020-08-07,DZA,8576424,454694
2020-08-08,DZA,9081594,500832
2020-08-09,DZA,9597948,549861
2020-08-10,DZA,10124142,601718
2020-08-11,DZA,10658772,656310
2020-08-12,DZA,11200402,713505
2020-08-13,DZA,11747594,773134
2020-08-14,DZA,12298953,834984
2020-08-15,DZA,12853186,898801
2020-08-16,DZA,13409154,964286
2020-08-17,DZA,13965919,1031098
2020-08-18,DZA,14522806,1098848
2020-08-19,DZA,15079479,1167103
2020-08-20,DZA,15636020,1235387
2020-08-21,DZA,16193022,1303181
2020-08-22,DZA,16751687,1369930
2020-08-23,DZA,17313921,1435041
2020-08-24,DZA,17882440,1497896
2020-08-25,DZA,18460876,1557850
2020-08-26,DZA,19053899,1614247
2020-08-27,DZA,19667339,1666420
2020-08-28,DZA,20308319,1713712
2020-08-29,DZA,20985382,1755479
2020-08-30,DZA,21708613,1791111
2020-08-31,DZA,22489776,1820041
2020-09-01,DZA,23342431,1841769
2020-09-02,DZA,24282068,1855875
2020-09-03,DZA,25326222,1862042
2020-09-04,DZA,26494590,1862042
2020-09-05,DZA,27803107,1862042
2020-09-06,DZA,29259910,1862042
2020-09-07,DZA,30904701,1862042
2020-09-08,DZA,32783387,1862042
2020-09-09,DZA,34944629,1862042
2020-09-10,DZA,37424913,1862042
2020-09-11,DZA,40259562,1863768
2020-09-12,DZA,43469865,1870912
2020-09-13,DZA,43851044,1885716
2020-09-14,DZA,43851044,1908154
2020-09-15,DZA,43851044,1921923
2020-09-16,DZA,43851044,1961369
2020-09-17,DZA,43851044,2008267
2020-09-18,DZA,43851044,2046302
2020-09-19,DZA,43851044,2089951
2020-09-20,DZA,43851044,2129588
2020-09-21,DZA,43851044,2192176
2020-09-22,DZA,43851044,2229414
2020-09-23,DZA,43851044,2287836
2020-09-24,DZA,43851044,2349502
2020-09-25,DZA,43851044,2403039
2020-09-26,DZA,43851044,2450026
2020-09-27,DZA,43851044,2504574
2020-09-28,DZA,43851044,2552025
2020-09-29,DZA,43851044,2598280
2020-09-30,DZA,43851044,2634746
2020-10-01,DZA,43851044,2675108
2020-10-02,DZA,43851044,2703214
2020-10-03,DZA,43851044,2718505
2020-10-04,DZA,43851044,2729770
2020-10-05,DZA,43851044,2734049
2020-10-06,DZA,43851044,2734049
2020-10-07,DZA,43851044,2734049
2020-10-08,DZA,43851044,2734049
2020-10-09,DZA,43851044,2734049
2020-10-10,DZA,43851044,2734049
2020-10-11,DZA,43851044,2734049
2020-10-12,DZA,43851044,2734049
2020-10-13,DZA,43851044,2734049
2020-10-14,DZA,43851044,2734049
2020-10-15,DZA,43851044,2734049
2020-10-16,DZA,43851044,2734049
2020-10-17,DZA,43851044,2734049
2020-10-18,DZA,43851044,2734049
2020-10-19,DZA,43851044,2734049
2020-10-20,DZA,43851044,2734049
2020-10-21,DZA,43851044,2734049
2020-10-22,DZA,43851044,2734049
2020-10-23,DZA,43851044,2734049
2020-10-24,DZA,43851044,2734049
2020-10-25,DZA,43851044,2734049
2020-10-26,DZA,43851044,2734049
2020-10-27,DZA,43851044,2734049
2020-10-28,DZA,43851044,2734049
2020-10-29,DZA,43851044,2734049
2020-10-30,DZA,43851044,2734049
2020-10-31,DZA,43851044,2734049
2020-11-01,DZA,43851044,2734049
2020-11-02,DZA,43851044,2734049
2020-11-03,DZA,43851044,2734049
2020-11-04,DZA,43851044,2734049
2020-11-05,DZA,43851044,2734049
2020-11-06,DZA,43851044,2734049
2020-11-07,DZA,43851044,2734049
2020-11-08,DZA,43851044,2734049
2020-11-09,DZA,43851044,2734049
2020-11-10,DZA,43851044,2734049
2020-11-11,DZA,43851044,2734049
2020-11-12,DZA,43851044,2734049
2020-11-13,DZA,43851044,2734049
2020-11-14,DZA,43851044,2734049
2020-11-15,DZA,43851044,2734049
2020-11-16,DZA,43851044,2734049
2020-11-17,DZA,43851044,2734049
2020-11-18,DZA,43851044,2734049
2020-11-19,DZA,43851044,2734049
2020-11-20,DZA,43851044,2734049
2020-11-21,DZA,43851044,2734049
2020-11-22,DZA,43851044,2734049
2020-11-23,DZA,43851044,2734049
2020-11-24,DZA,43851044,2734049
2020-11-25,DZA,43851044,2734049
2020-11-26,DZA,43851044,2734049
2020-11-27,DZA,43851044,2734049
2020-11-28,DZA,43851044,2734049
2020-11-29,DZA,43851044,2734049
2020-11-30,DZA,43851044,2734049
2020-12-01,DZA,43851044,2734049
2020-12-02,DZA,43851044,2734049
2020-12-03,DZA,43851044,2734049
2020-12-04,DZA,43851044,2734049
2020-12-05,DZA,43851044,2734049
2020-12-06,DZA,43851044,2734049
2020-12-07,DZA,43851044,2734049
2020-12-08,DZA,43851044,2734049
2020-12-09,DZA,43851044,2734049
2020-12-10,DZA,43851044,2734049
2020-12-11,DZA,43851044,2734049
2020-12-12,DZA,43851044,2734049
2020-12-13,DZA,43851044,2734049
2020-12-14,DZA,43851044,2734049
2020-12-15,DZA,43851044,2734049
2020-12-16,DZA,43851044,2734049
2020-12-17,DZA,43851044,2734049
2020-12-18,DZA,43851044,2734049
2020-12-19,DZA,43851044,2734049
2020-12-20,DZA,43851044,2734049
2020-12-21,DZA,43851044,2734049
2020-12-22,DZA,43851044,2734049
2020-12-23,DZA,43851044,2734049
2020-12-24,DZA,43851044,2734049
2020-12-25,DZA,43851044,2734049
2020-12-26,DZA,43851044,2734049
2020-12-27,DZA,43851044,2734049
2020-12-28,DZA,43851044,2734049
2020-12-29,DZA,43851044,2734049
2020-12-30,DZA,43851044,2734049
2020-12-31,DZA,43851044,2734049
2020-04-19,AND,718,35
2020-04-20,AND,741,36
2020-04-21,AND,751,37
2020-04-22,AND,762,37
2020-04-23,AND,783,37
2020-04-24,AND,791,37
2020-04-25,AND,819,38
2020-04-26,AND,845,38
2020-04-27,AND,873,38
2020-04-28,AND,909,39
2020-04-29,AND,944,39
2020-04-30,AND,986,39
2020-05-01,AND,1034,39
2020-05-02,AND,1089,40
2020-05-03,AND,1152,40
2020-05-04,AND,1222,41
2020-05-05,AND,1300,42
2020-05-06,AND,1388,43
2020-05-07,AND,1484,45
2020-05-08,AND,1592,47
2020-05-09,AND,1711,50
